complaint_id,date_received,date_closed,product,issue,sub_issue,company_type,state,complaint_text,resolution,resolution_days,compensation_aud
AFCA-2023-00001,2023-01-05,2023-01-26,Credit Card,Unauthorised transaction,Fraudulent charge,Bank,VIC,"I noticed three transactions on my Visa credit card totalling $4,280 that I did not authorise. The charges were made at electronics stores in Sydney while I was overseas. I contacted my bank immediately but they refused to reverse the charges, claiming I must have shared my PIN.",Resolved - in favour of complainant,21,4280.00
AFCA-2023-00002,2023-01-08,2023-02-15,Home Loan,Interest rate,Variable rate increase,Bank,NSW,"My variable home loan rate was increased by 0.50% without adequate notice. The bank claims they sent a letter but I never received it. My monthly repayments went up by $320 which is causing financial hardship. The Product Disclosure Statement says 30 days notice is required.",Resolved - in favour of complainant,38,3840.00
AFCA-2023-00003,2023-01-10,2023-01-31,General Insurance,Claim denial,Home and contents,Insurer,QLD,"My home was damaged in the January floods. I lodged a claim for $45,000 in repairs but the insurer denied it saying the damage was caused by 'rising water' not 'storm damage' and therefore excluded under my policy. I believe this interpretation is unreasonable as the water entered through the roof during the storm.",Resolved - in favour of complainant,21,45000.00
AFCA-2023-00004,2023-01-12,2023-02-28,Personal Loan,Responsible lending,Unaffordable loan,Non-bank lender,VIC,"I was approved for a $25,000 personal loan despite having existing debts of $60,000 and a net income of only $3,200 per month. The lender did not verify my expenses or existing obligations. I am now in severe financial hardship and cannot meet repayments.",Resolved - in favour of complainant,47,25000.00
AFCA-2023-00005,2023-01-15,2023-02-10,Superannuation,Account administration,Lost account,Super fund,WA,"I have been trying to locate my superannuation account from a previous employer for 18 months. The fund claims they have no record of my membership despite me having statements from 2018. I estimate approximately $32,000 should be in the account.",Resolved - in favour of complainant,26,0.00
AFCA-2023-00006,2023-01-17,2023-02-20,Credit Card,Fees and charges,Annual fee,Bank,VIC,"I was charged a $450 annual fee on my platinum credit card despite calling to downgrade my card two months prior. The bank has no record of my call and refuses to refund the fee. I specifically remember the call as I was advised the downgrade would take effect immediately.",Resolved - in favour of complainant,34,450.00
AFCA-2023-00007,2023-01-20,2023-03-15,Home Loan,Financial hardship,Repayment difficulty,Bank,NSW,"I lost my job due to company restructuring and requested a 3-month repayment pause on my home loan. The bank refused and instead offered to extend my loan term by 5 years which would cost me an additional $85,000 in interest. I believe this is not a genuine hardship arrangement as required under the National Credit Code.",Resolved - by negotiation,54,0.00
AFCA-2023-00008,2023-01-22,2023-02-12,General Insurance,Claim delay,Motor vehicle,Insurer,SA,"My car was written off in an accident on 15 November 2022. It has been over 2 months and my insurer has not yet assessed my claim. I am paying for a rental car at $65 per day. The PDS states claims will be assessed within 10 business days.",Resolved - in favour of complainant,21,3900.00
AFCA-2023-00009,2023-01-25,2023-02-28,Banking,Account closure,Unilateral closure,Bank,VIC,"My bank closed all my accounts without explanation, giving me only 30 days notice. I have been a customer for 15 years with no issues. When I asked for a reason they cited 'commercial decision'. This has disrupted my direct debits and salary deposits causing significant inconvenience.",Resolved - by negotiation,34,500.00
AFCA-2023-00010,2023-01-28,2023-03-20,Life Insurance,Claim denial,Income protection,Insurer,QLD,"My income protection claim was denied after 8 months of being on claim. The insurer arranged an independent medical examination and the doctor said I could return to work despite my treating specialist disagreeing. I have chronic back pain and cannot sit for more than 30 minutes.",Resolved - in favour of complainant,51,24000.00
AFCA-2023-00011,2023-02-01,2023-02-22,Credit Card,Disputed transaction,Online purchase,Bank,TAS,"I purchased a laptop online for $2,100 but received a counterfeit product. I requested a chargeback from my bank but they declined saying I needed to resolve the dispute with the merchant first. The merchant is based overseas and is unresponsive.",Resolved - in favour of complainant,21,2100.00
AFCA-2023-00012,2023-02-03,2023-03-10,Home Loan,Discharge,Delay in discharge,Bank,VIC,"I refinanced my home loan to another lender and requested discharge of my existing mortgage. It has been 6 weeks and the bank has not completed the discharge despite the legal requirement to do so within 14 days. My new lender is charging a higher rate until settlement.",Resolved - in favour of complainant,35,1200.00
AFCA-2023-00013,2023-02-05,2023-03-28,General Insurance,Underinsurance,Building sum insured,Insurer,NSW,"After a fire damaged my home, I discovered I was underinsured by approximately $200,000. My insurer had not contacted me to review my sum insured for 5 years despite significant construction cost increases. The insurer has an obligation under the Insurance Contracts Act to clearly inform me of underinsurance risk.",Resolved - by negotiation,51,80000.00
AFCA-2023-00014,2023-02-08,2023-02-28,Personal Loan,Early repayment,Break costs,Non-bank lender,WA,"I repaid my fixed rate personal loan early and was charged $3,200 in break costs. The loan contract does not clearly disclose how break costs are calculated. I believe the calculation method is unreasonable and not compliant with ASIC guidelines on early termination fees.",Resolved - in favour of complainant,20,3200.00
AFCA-2023-00015,2023-02-10,2023-04-01,Superannuation,Insurance in super,TPD claim,Super fund,VIC,"My Total and Permanent Disability claim through my superannuation fund has been in assessment for 14 months. I have provided all requested medical evidence but the fund keeps requesting additional reports. I have not been able to work since my accident and am relying on Centrelink.",Resolved - in favour of complainant,50,0.00
AFCA-2023-00016,2023-02-12,2023-03-05,Credit Card,Interest charges,Incorrect calculation,Bank,QLD,"I have been overcharged interest on my credit card for an estimated 6 months. The bank applied the cash advance rate of 21.99% to regular purchases instead of the purchase rate of 17.99%. When I raised this they acknowledged the error but only refunded 3 months of overcharges.",Resolved - in favour of complainant,21,840.00
AFCA-2023-00017,2023-02-15,2023-03-30,Home Loan,Broker conduct,Inappropriate advice,Mortgage broker,NSW,"My mortgage broker recommended a loan product with a 2-year honeymoon rate that then reverted to a rate significantly higher than the market average. The broker received a higher commission on this product. I believe the broker failed to act in my best interests as required under the National Consumer Credit Protection Act.",Resolved - in favour of complainant,43,0.00
AFCA-2023-00018,2023-02-18,2023-03-11,General Insurance,Premium increase,Renewal notice,Insurer,VIC,"My home insurance premium increased by 42% at renewal with no explanation. When I called the insurer they said it was due to 'increased natural disaster risk' but could not provide specific details. I have never made a claim in 12 years of being with this insurer.",Resolved - by negotiation,21,800.00
